Page,URL,Language,Currently Reading,Want to Read
10,https://www.goodreads.com/book/show/61150434-blood-bank,Not Found,104,256
10,https://www.goodreads.com/book/show/20129233-the-sandman-57,Not Found,2,129
10,https://www.goodreads.com/book/show/19567180-the-sandman-72,Not Found,1,122
10,https://www.goodreads.com/book/show/19841691-the-sandman-74,Not Found,2,125
10,https://www.goodreads.com/book/show/19801972-the-sandman-71,Not Found,2,124
10,https://www.goodreads.com/book/show/59552729-invocaciones,Spanish; Castilian,10,148
10,https://www.goodreads.com/book/show/19790796-the-sandman-68,Not Found,2,119
10,https://www.goodreads.com/book/show/19833143-the-sandman-59,Not Found,1,122
10,https://www.goodreads.com/book/show/57070845-batman,Not Found,4,80
10,https://www.goodreads.com/book/show/11284169-sandman-absolute-6,Not Found,1,102
10,https://www.goodreads.com/book/show/20189661-the-sandman-67,Not Found,3,121
10,https://www.goodreads.com/book/show/20118598-the-sandman-73,Not Found,1,121
10,https://www.goodreads.com/book/show/20623117-the-sandman-58,Not Found,1,125
10,https://www.goodreads.com/book/show/19663991-the-sandman-64,Not Found,120,Not Found
10,https://www.goodreads.com/book/show/19790145-the-sandman-61,Not Found,1,120
10,https://www.goodreads.com/book/show/19737807-the-sandman-65,Not Found,1,119
10,https://www.goodreads.com/book/show/19716559-the-sandman-66,Not Found,1,120
10,https://www.goodreads.com/book/show/20623158-the-sandman-60,Not Found,1,125
10,https://www.goodreads.com/book/show/6602298-endless-gallery,Not Found,288,Not Found
10,https://www.goodreads.com/book/show/19878959-death,Not Found,4,127
10,https://www.goodreads.com/book/show/28019573-marvel-1602-3,Not Found,2,92
10,https://www.goodreads.com/book/show/35915811-american-gods,Not Found,6,193
11,https://www.goodreads.com/book/show/19762991-the-sandman-62,Not Found,119,Not Found
11,https://www.goodreads.com/book/show/19789243-the-sandman-63,Not Found,119,Not Found
11,https://www.goodreads.com/book/show/18758425-don-t-ask-jack,Not Found,5,166
11,https://www.goodreads.com/book/show/17730572-death-talks-about-life,Not Found,1,218
11,https://www.goodreads.com/book/show/36176395-american-gods,Not Found,8,175
11,https://www.goodreads.com/book/show/26846888-feeders-eaters-and-other-stories,Not Found,6,248
11,https://www.goodreads.com/book/show/28019572-marvel-1602-5,Not Found,4,91
11,https://www.goodreads.com/book/show/24520338-neil-gaiman-and-charles-vess-stardust-3,Not Found,8,290
11,https://www.goodreads.com/book/show/24386216-a-little-trigger,Not Found,Not Found,Not Found
11,https://www.goodreads.com/book/show/28019571-marvel-1602-4,Not Found,5,91
11,https://www.goodreads.com/book/show/25810100-the-annotated-sandman-vol-4,English,3,324
11,https://www.goodreads.com/book/show/34782005-nicholas-was,Not Found,73,Not Found
11,https://www.goodreads.com/book/show/16129575,Russian,8,69
11,https://www.goodreads.com/book/show/28019574-marvel-1602-7,Not Found,3,91
11,https://www.goodreads.com/book/show/16034893-the-sandman-n-2,Italian,2,88
11,https://www.goodreads.com/book/show/25760678-marvel-1602-8,Not Found,1,84
11,https://www.goodreads.com/book/show/29474828-eternals-2006-2007-2,Not Found,2,42
11,https://www.goodreads.com/book/show/24520337-neil-gaiman-and-charles-vess-stardust-4,Not Found,8,275
11,https://www.goodreads.com/book/show/55594718-norse-mythology-i-1,Not Found,12,77
11,https://www.goodreads.com/book/show/18051049-sandman,Portuguese,97,Not Found
11,https://www.goodreads.com/book/show/28019570-marvel-1602-6,Not Found,2,88
11,https://www.goodreads.com/book/show/26452096-being-an-account-of-the-life-and-death-of-the-emperor-heliogabolus,Not Found,5,934
11,https://www.goodreads.com/book/show/19958040-death,Not Found,2,88
11,https://www.goodreads.com/book/show/24520336-neil-gaiman-and-charles-vess-stardust-2,Not Found,7,295
11,https://www.goodreads.com/book/show/36308593-american-gods,Not Found,7,156
11,https://www.goodreads.com/book/show/280016.Ghastly_Beyond_Belief,English,14,391
11,https://www.goodreads.com/book/show/16034896-the-sandman-n-3,Italian,1,93
11,https://www.goodreads.com/book/show/36530828-american-gods,Not Found,4,154
11,https://www.goodreads.com/book/show/26259326-manuscript-found-in-a-milk-bottle,Not Found,2,225
11,https://www.goodreads.com/book/show/16034889-the-sandman-n-1,Italian,1,82
12,https://www.goodreads.com/book/show/41796744-john-constantine-the-hellblazer-2018-halloween-comicfest-special-1,Not Found,38,127
12,https://www.goodreads.com/book/show/22536849-the-books-of-magic-1990--1,Not Found,8,102
12,https://www.goodreads.com/book/show/29474829-eternals-2006-2007-3,Not Found,40,Not Found
12,https://www.goodreads.com/book/show/25664511-neil-gaiman-s-mr-hero-the-newmatic-man,English,2,136
12,https://www.goodreads.com/book/show/10249913-vertigo,Spanish; Castilian,3,73
12,https://www.goodreads.com/book/show/19793396-death,Not Found,2,76
12,https://www.goodreads.com/book/show/27865700-eternals-2006-2007-6,Not Found,3,34
12,https://www.goodreads.com/book/show/16034900-the-sandman-n-4,Italian,1,85
12,https://www.goodreads.com/book/show/6395492-one-life-furnished-in-early-moorcock,Not Found,180,Not Found
12,https://www.goodreads.com/book/show/27281959-spawn-9,Not Found,7,66
12,https://www.goodreads.com/book/show/29474830-eternals-2006-2007-4,Not Found,1,44
